Embedding,Classifier,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score
TF-IDF,Logistic Regression,0.7358,0.3806,0.3668,0.3806,0.3525
TF-IDF,KNN,0.2564,0.2405,0.2445,0.2405,0.1082
TF-IDF,SVM Linear,0.7436,0.3904,0.38,0.3904,0.3618
TF-IDF,SVM RBF,0.8883,0.3839,0.344,0.3839,0.3243
TF-IDF,Decision Tree,0.9613,0.3937,0.375,0.3937,0.3816
TF-IDF,Random Forest,0.9613,0.4069,0.4154,0.4069,0.3626
TF-IDF,Naive Bayes,0.817,0.3723,0.361,0.3723,0.3643
TF-IDF,Gradient Boosting,0.7585,0.4135,0.3996,0.4135,0.3772
TF-IDF,MLP,0.9567,0.3773,0.3597,0.3773,0.3672
TF-IDF,AdaBoost,0.3941,0.3904,0.3471,0.3904,0.3437
BERT,Logistic Regression,0.749,0.3707,0.3613,0.3707,0.3649
BERT,KNN,0.5544,0.3937,0.3636,0.3937,0.3675
BERT,SVM Linear,0.8578,0.3641,0.3535,0.3641,0.3559
BERT,SVM RBF,0.4728,0.425,0.331,0.425,0.3444
BERT,Decision Tree,0.9876,0.3064,0.3045,0.3064,0.3052
BERT,Random Forest,0.9876,0.4333,0.4006,0.4333,0.3781
BERT,Naive Bayes,0.3879,0.3641,0.3699,0.3641,0.3232
BERT,Gradient Boosting,0.9221,0.4152,0.3873,0.4152,0.3848
BERT,MLP,0.9856,0.3641,0.3614,0.3641,0.3614
BERT,AdaBoost,0.425,0.3904,0.3515,0.3904,0.3603
RoBERTa,Logistic Regression,0.4827,0.4152,0.3835,0.4152,0.3711
RoBERTa,KNN,0.5647,0.3608,0.3294,0.3608,0.3388
RoBERTa,SVM Linear,0.4662,0.4069,0.3104,0.4069,0.3311
RoBERTa,SVM RBF,0.4048,0.3855,0.202,0.3855,0.265
RoBERTa,Decision Tree,0.988,0.3048,0.2992,0.3048,0.3007
RoBERTa,Random Forest,0.988,0.4201,0.4194,0.4201,0.3681
RoBERTa,Naive Bayes,0.3953,0.3773,0.3633,0.3773,0.3381
RoBERTa,Gradient Boosting,0.8998,0.4234,0.388,0.4234,0.395
RoBERTa,MLP,0.6608,0.3542,0.3323,0.3542,0.3355
RoBERTa,AdaBoost,0.4101,0.4152,0.3727,0.4152,0.3774
